SERIE_INITIAL_DATA: 2010 1 01 0 0 0
TIME_UNITS: SECONDS     
seconds YY MM DD Kc  
<BeginTimeSerie>      
27129600 2010 11 11 0.317606928186669
27216000 2010 11 12 0.335213856373338
27302400 2010 11 13 0.352820784560007
27388800 2010 11 14 0.370427712746676
27475200 2010 11 15 0.388034640933345
27561600 2010 11 16 0.405641569120013
27648000 2010 11 17 0.423248497306682
27734400 2010 11 18 0.440855425493351
27820800 2010 11 19 0.45846235368002
27907200 2010 11 20 0.476069281866689
27993600 2010 11 21 0.493676210053358
28080000 2010 11 22 0.511283138240027
28166400 2010 11 23 0.528890066426696
28252800 2010 11 24 0.546496994613365
28339200 2010 11 25 0.564103922800034
28425600 2010 11 26 0.581710850986703
28512000 2010 11 27 0.599317779173371
28598400 2010 11 28 0.61692470736004
28684800 2010 11 29 0.634531635546709
28771200 2010 11 30 0.652138563733378
28857600 2010 12 1 0.652138563733378
28944000 2010 12 2 0.652138563733378
29030400 2010 12 3 0.652138563733378
29116800 2010 12 4 0.652138563733378
29203200 2010 12 5 0.652138563733378
29289600 2010 12 6 0.652138563733378
29376000 2010 12 7 0.652138563733378
29462400 2010 12 8 0.652138563733378
29548800 2010 12 9 0.652138563733378
29635200 2010 12 10 0.652138563733378
29721600 2010 12 11 0.652138563733378
29808000 2010 12 12 0.652138563733378
29894400 2010 12 13 0.652138563733378
29980800 2010 12 14 0.652138563733378
30067200 2010 12 15 0.652138563733378
30153600 2010 12 16 0.652138563733378
30240000 2010 12 17 0.652138563733378
30326400 2010 12 18 0.652138563733378
30412800 2010 12 19 0.652138563733378
30499200 2010 12 20 0.652138563733378
30585600 2010 12 21 0.652138563733378
30672000 2010 12 22 0.652138563733378
30758400 2010 12 23 0.652138563733378
30844800 2010 12 24 0.652138563733378
30931200 2010 12 25 0.652138563733378
31017600 2010 12 26 0.652138563733378
31104000 2010 12 27 0.652138563733378
31190400 2010 12 28 0.652138563733378
31276800 2010 12 29 0.652138563733378
31363200 2010 12 30 0.652138563733378
31449600 2010 12 31 0.652138563733378
31536000 2011 1 1 0.652138563733378
31622400 2011 1 2 0.652138563733378
31708800 2011 1 3 0.652138563733378
31795200 2011 1 4 0.652138563733378
31881600 2011 1 5 0.652138563733378
31968000 2011 1 6 0.652138563733378
32054400 2011 1 7 0.652138563733378
32140800 2011 1 8 0.652138563733378
32227200 2011 1 9 0.652138563733378
32313600 2011 1 10 0.652138563733378
32400000 2011 1 11 0.652138563733378
32486400 2011 1 12 0.652138563733378
32572800 2011 1 13 0.652138563733378
32659200 2011 1 14 0.652138563733378
32745600 2011 1 15 0.652138563733378
32832000 2011 1 16 0.652138563733378
32918400 2011 1 17 0.652138563733378
33004800 2011 1 18 0.652138563733378
33091200 2011 1 19 0.652138563733378
33177600 2011 1 20 0.652138563733378
33264000 2011 1 21 0.652138563733378
33350400 2011 1 22 0.652138563733378
33436800 2011 1 23 0.652138563733378
33523200 2011 1 24 0.652138563733378
33609600 2011 1 25 0.652138563733378
33696000 2011 1 26 0.652138563733378
33782400 2011 1 27 0.652138563733378
33868800 2011 1 28 0.652138563733378
33955200 2011 1 29 0.652138563733378
34041600 2011 1 30 0.652138563733378
34128000 2011 1 31 0.652138563733378
34214400 2011 2 1 0.652138563733378
34300800 2011 2 2 0.652138563733378
34387200 2011 2 3 0.652138563733378
34473600 2011 2 4 0.652138563733378
34560000 2011 2 5 0.652138563733378
34646400 2011 2 6 0.652138563733378
34732800 2011 2 7 0.652138563733378
34819200 2011 2 8 0.652138563733378
34905600 2011 2 9 0.652138563733378
34992000 2011 2 10 0.652138563733378
35078400 2011 2 11 0.652138563733378
35164800 2011 2 12 0.652138563733378
35251200 2011 2 13 0.652138563733378
35337600 2011 2 14 0.652138563733378
35424000 2011 2 15 0.652138563733378
35510400 2011 2 16 0.652138563733378
35596800 2011 2 17 0.652138563733378
35683200 2011 2 18 0.652138563733378
35769600 2011 2 19 0.652138563733378
35856000 2011 2 20 0.652138563733378
35942400 2011 2 21 0.652138563733378
36028800 2011 2 22 0.652138563733378
36115200 2011 2 23 0.652138563733378
36201600 2011 2 24 0.652138563733378
36288000 2011 2 25 0.652138563733378
36374400 2011 2 26 0.652138563733378
36460800 2011 2 27 0.652138563733378
36547200 2011 2 28 0.652138563733378
36633600 2011 3 1 0.652138563733378
36720000 2011 3 2 0.652138563733378
36806400 2011 3 3 0.652138563733378
36892800 2011 3 4 0.652138563733378
36979200 2011 3 5 0.652138563733378
37065600 2011 3 6 0.652138563733378
37152000 2011 3 7 0.652138563733378
37238400 2011 3 8 0.652138563733378
37324800 2011 3 9 0.652138563733378
37411200 2011 3 10 0.652138563733378
37497600 2011 3 11 0.652138563733378
37584000 2011 3 12 0.652138563733378
37670400 2011 3 13 0.652138563733378
37756800 2011 3 14 0.652138563733378
37843200 2011 3 15 0.652138563733378
37929600 2011 3 16 0.652138563733378
38016000 2011 3 17 0.652138563733378
38102400 2011 3 18 0.652138563733378
38188800 2011 3 19 0.652138563733378
38275200 2011 3 20 0.652138563733378
38361600 2011 3 21 0.652138563733378
38448000 2011 3 22 0.652138563733378
38534400 2011 3 23 0.652138563733378
38620800 2011 3 24 0.652138563733378
38707200 2011 3 25 0.652138563733378
38793600 2011 3 26 0.652138563733378
38880000 2011 3 27 0.652138563733378
38966400 2011 3 28 0.652138563733378
39052800 2011 3 29 0.652138563733378
39139200 2011 3 30 0.652138563733378
39225600 2011 3 31 0.652138563733378
39312000 2011 4 1 0.652138563733378
39398400 2011 4 2 0.652138563733378
39484800 2011 4 3 0.652138563733378
39571200 2011 4 4 0.652138563733378
39657600 2011 4 5 0.652138563733378
39744000 2011 4 6 0.652138563733378
39830400 2011 4 7 0.652138563733378
39916800 2011 4 8 0.652138563733378
40003200 2011 4 9 0.652138563733378
40089600 2011 4 10 0.652138563733378
40176000 2011 4 11 0.652138563733378
40262400 2011 4 12 0.652138563733378
40348800 2011 4 13 0.652138563733378
40435200 2011 4 14 0.652138563733378
40521600 2011 4 15 0.652138563733378
40608000 2011 4 16 0.652138563733378
40694400 2011 4 17 0.652138563733378
40780800 2011 4 18 0.652138563733378
40867200 2011 4 19 0.652138563733378
40953600 2011 4 20 0.652138563733378
41040000 2011 4 21 0.652138563733378
41126400 2011 4 22 0.652138563733378
41212800 2011 4 23 0.652138563733378
41299200 2011 4 24 0.652138563733378
41385600 2011 4 25 0.652138563733378
41472000 2011 4 26 0.652138563733378
41558400 2011 4 27 0.652138563733378
41644800 2011 4 28 0.652138563733378
41731200 2011 4 29 0.652138563733378
41817600 2011 4 30 0.652138563733378
41904000 2011 5 1 0.652138563733378
41990400 2011 5 2 0.652138563733378
42076800 2011 5 3 0.652138563733378
42163200 2011 5 4 0.652138563733378
42249600 2011 5 5 0.652138563733378
42336000 2011 5 6 0.652138563733378
42422400 2011 5 7 0.652138563733378
42508800 2011 5 8 0.652138563733378
42595200 2011 5 9 0.652138563733378
42681600 2011 5 10 0.652138563733378
42768000 2011 5 11 0.652138563733378
42854400 2011 5 12 0.652138563733378
42940800 2011 5 13 0.652138563733378
43027200 2011 5 14 0.652138563733378
43113600 2011 5 15 0.652138563733378
43200000 2011 5 16 0.652138563733378
43286400 2011 5 17 0.652138563733378
43372800 2011 5 18 0.652138563733378
43459200 2011 5 19 0.652138563733378
43545600 2011 5 20 0.652138563733378
43632000 2011 5 21 0.652138563733378
43718400 2011 5 22 0.652138563733378
43804800 2011 5 23 0.652138563733378
43891200 2011 5 24 0.652138563733378
43977600 2011 5 25 0.652138563733378
44064000 2011 5 26 0.652138563733378
44150400 2011 5 27 0.652138563733378
44236800 2011 5 28 0.652138563733378
44323200 2011 5 29 0.652138563733378
44409600 2011 5 30 0.652138563733378
44496000 2011 5 31 0.652138563733378
44582400 2011 6 1 0.652138563733378
44668800 2011 6 2 0.652138563733378
44755200 2011 6 3 0.652138563733378
44841600 2011 6 4 0.652138563733378
44928000 2011 6 5 0.652138563733378
45014400 2011 6 6 0.652138563733378
45100800 2011 6 7 0.652138563733378
45187200 2011 6 8 0.652138563733378
45273600 2011 6 9 0.652138563733378
45360000 2011 6 10 0.652138563733378
45446400 2011 6 11 0.652138563733378
45532800 2011 6 12 0.652138563733378
45619200 2011 6 13 0.652138563733378
45705600 2011 6 14 0.652138563733378
45792000 2011 6 15 0.652138563733378
45878400 2011 6 16 0.652138563733378
45964800 2011 6 17 0.4
46051200 2011 6 18 0.4
46137600 2011 6 19 0.4
46224000 2011 6 20 0.4
46310400 2011 6 21 0.4
46396800 2011 6 22 0.4
46483200 2011 6 23 0.4
46569600 2011 6 24 0.4
46656000 2011 6 25 0.4
46742400 2011 6 26 0.4
46828800 2011 6 27 0.4
46915200 2011 6 28 0.4
47001600 2011 6 29 0.4
47088000 2011 6 30 0.4
47174400 2011 7 1 0.4
47260800 2011 7 2 0.4
47347200 2011 7 3 0.4
47433600 2011 7 4 0.4
47520000 2011 7 5 0.4
47606400 2011 7 6 0.4
47692800 2011 7 7 0.4
47779200 2011 7 8 0.4
47865600 2011 7 9 0.4
47952000 2011 7 10 0.4
48038400 2011 7 11 0.4
48124800 2011 7 12 0.4
48211200 2011 7 13 0.4
48297600 2011 7 14 0.4
48384000 2011 7 15 0.4
48470400 2011 7 16 0.4
48556800 2011 7 17 0.4
48643200 2011 7 18 0.4
48729600 2011 7 19 0.4
48816000 2011 7 20 0.4
48902400 2011 7 21 0.4
48988800 2011 7 22 0.4
49075200 2011 7 23 0.4
49161600 2011 7 24 0.4
49248000 2011 7 25 0.4
49334400 2011 7 26 0.4
49420800 2011 7 27 0.4
49507200 2011 7 28 0.4
49593600 2011 7 29 0.4
49680000 2011 7 30 0.4
49766400 2011 7 31 0.4
49852800 2011 8 1 0.4
49939200 2011 8 2 0.4
50025600 2011 8 3 0.4
50112000 2011 8 4 0.4
50198400 2011 8 5 0.4
50284800 2011 8 6 0.4
50371200 2011 8 7 0.4
50457600 2011 8 8 0.4
50544000 2011 8 9 0.4
50630400 2011 8 10 0.4
50716800 2011 8 11 0.4
50803200 2011 8 12 0.4
50889600 2011 8 13 0.4
50976000 2011 8 14 0.4
51062400 2011 8 15 0.4
51148800 2011 8 16 0.4
51235200 2011 8 17 0.4
51321600 2011 8 18 0.4
51408000 2011 8 19 0.4
51494400 2011 8 20 0.4
51580800 2011 8 21 0.4
51667200 2011 8 22 0.4
51753600 2011 8 23 0.4
51840000 2011 8 24 0.4
